Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01JAN2021-00.00.00
End Date:          31JAN2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   321) 2021/01/04 08:00:00     1.225     -0.098  
   322) 2021/01/04 08:15:00     1.309     -0.071  
   323) 2021/01/04 08:30:00     1.413     -0.056  
   324) 2021/01/04 08:45:00     1.546     -0.029  
   325) 2021/01/04 09:00:00     1.681     -0.006  
   326) 2021/01/04 09:15:00     1.809      0.012  
   327) 2021/01/04 09:30:00     1.921      0.021  
   328) 2021/01/04 09:45:00     2.019      0.025  
   329) 2021/01/04 10:00:00     2.098      0.019  
   330) 2021/01/04 10:15:00     2.154     -0.001  
   331) 2021/01/04 10:30:00     2.201     -0.026  
   332) 2021/01/04 10:45:00     2.249     -0.051  
   333) 2021/01/04 11:00:00     2.309     -0.075  
   334) 2021/01/04 11:15:00     2.402     -0.085  
   335) 2021/01/04 11:30:00     2.535     -0.080  
   336) 2021/01/04 11:45:00     2.697     -0.073  
   337) 2021/01/04 12:00:00     2.880     -0.067  
   338) 2021/01/04 12:15:00     3.063     -0.075  
   339) 2021/01/04 12:30:00     3.251     -0.082  
   340) 2021/01/04 12:45:00     3.442     -0.081  
   341) 2021/01/04 13:00:00     3.627     -0.075  
   342) 2021/01/04 13:15:00     3.804     -0.065  
   343) 2021/01/04 13:30:00     3.962     -0.060  
   344) 2021/01/04 13:45:00     4.094     -0.063  
   345) 2021/01/04 14:00:00     4.191     -0.079  
   346) 2021/01/04 14:15:00     4.258     -0.095  
   347) 2021/01/04 14:30:00     4.291     -0.109  
   348) 2021/01/04 14:45:00     4.289     -0.121  
   349) 2021/01/04 15:00:00     4.254     -0.134  
   350) 2021/01/04 15:15:00     4.204     -0.139  
   351) 2021/01/04 15:30:00     4.149     -0.138  
   352) 2021/01/04 15:45:00     4.105     -0.124  
   353) 2021/01/04 16:00:00     4.076     -0.096  
   354) 2021/01/04 16:15:00     4.052     -0.058  
   355) 2021/01/04 16:30:00     4.007     -0.027  
   356) 2021/01/04 16:45:00     3.916     -0.014  
   357) 2021/01/04 17:00:00     3.763     -0.029  
   358) 2021/01/04 17:15:00     3.557     -0.058  
   359) 2021/01/04 17:30:00     3.310     -0.092  
   360) 2021/01/04 17:45:00     3.044     -0.116  
   361) 2021/01/04 18:00:00     2.759     -0.138  
   362) 2021/01/04 18:15:00     2.454     -0.169  
   363) 2021/01/04 18:30:00     2.146     -0.197  
   364) 2021/01/04 18:45:00     1.838     -0.228  
   365) 2021/01/04 19:00:00     1.553     -0.251  
   366) 2021/01/04 19:15:00     1.315     -0.253  
   367) 2021/01/04 19:30:00     1.126     -0.249  
   368) 2021/01/04 19:45:00     1.012     -0.222  
   369) 2021/01/04 20:00:00     0.975     -0.179  
   370) 2021/01/04 20:15:00     0.982     -0.152  
   371) 2021/01/04 20:30:00     1.034     -0.131  
   372) 2021/01/04 20:45:00     1.125     -0.109  
   373) 2021/01/04 21:00:00     1.236     -0.091  
   374) 2021/01/04 21:15:00     1.364     -0.066  
   375) 2021/01/04 21:30:00     1.483     -0.053  
   376) 2021/01/04 21:45:00     1.590     -0.048  
   377) 2021/01/04 22:00:00     1.694     -0.039  
   378) 2021/01/04 22:15:00     1.784     -0.037  
   379) 2021/01/04 22:30:00     1.855     -0.047  
   380) 2021/01/04 22:45:00     1.908     -0.069  
   381) 2021/01/04 23:00:00     1.949     -0.102  
   382) 2021/01/04 23:15:00     1.987     -0.144  
   383) 2021/01/04 23:30:00     2.051     -0.175  
   384) 2021/01/04 23:45:00     2.147     -0.196  
   385) 2021/01/05 00:00:00     2.281     -0.205  
   386) 2021/01/05 00:15:00     2.443     -0.211  
   387) 2021/01/05 00:30:00     2.621     -0.220  
   388) 2021/01/05 00:45:00     2.805     -0.233  
   389) 2021/01/05 01:00:00     2.996     -0.240  
   390) 2021/01/05 01:15:00     3.180     -0.251  
   391) 2021/01/05 01:30:00     3.366     -0.252  
   392) 2021/01/05 01:45:00     3.540     -0.257  
   393) 2021/01/05 02:00:00     3.707     -0.257  
   394) 2021/01/05 02:15:00     3.852     -0.263  
   395) 2021/01/05 02:30:00     3.976     -0.267  
   396) 2021/01/05 02:45:00     4.073     -0.266  
   397) 2021/01/05 03:00:00     4.145     -0.255  
   398) 2021/01/05 03:15:00     4.183     -0.243  
